Jour,Biomasse,Biogaz,Gaz d'égout,Cultures énergétiques,Déchets forestiers et agricoles,Incinération,,,,,,,,,,
,Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh)
01.01.2020,3.86063,0,0,0,0,0,,,,,,,,,,
02.01.2020,3.74925,0,0,0,0,0,,,,,,,,,,
03.01.2020,3.81602,0,0,0,0,0,,,,,,,,,,
04.01.2020,3.84774,0,0,0,0,0,,,,,,,,,,
05.01.2020,3.78502,0,0,0,0,0,,,,,,,,,,
06.01.2020,3.75912,0,0,0,0,0,,,,,,,,,,
07.01.2020,3.87719,0,0,0,0,0,,,,,,,,,,
08.01.2020,3.8996,0,0,0,0,0,,,,,,,,,,
09.01.2020,3.94167,0,0,0,0,0,,,,,,,,,,
10.01.2020,4.04892,0,0,0,0,0,,,,,,,,,,
11.01.2020,4.00819,0,0,0,0,0,,,,,,,,,,
12.01.2020,3.93591,0,0,0,0,0,,,,,,,,,,
13.01.2020,3.83586,0,0,0,0,0,,,,,,,,,,
14.01.2020,3.99553,0,0,0,0,0,,,,,,,,,,
15.01.2020,4.03663,0,0,0,0,0,,,,,,,,,,
16.01.2020,4.01004,0,0,0,0,0,,,,,,,,,,
17.01.2020,3.89079,0,0,0,0,0,,,,,,,,,,
18.01.2020,4.03784,0,0,0,0,0,,,,,,,,,,
19.01.2020,4.03713,0,0,0,0,0,,,,,,,,,,
20.01.2020,3.81223,0,0,0,0,0,,,,,,,,,,
21.01.2020,3.77494,0,0,0,0,0,,,,,,,,,,
22.01.2020,3.82988,0,0,0,0,0,,,,,,,,,,
23.01.2020,3.93776,0,0,0,0,0,,,,,,,,,,
24.01.2020,4.04522,0,0,0,0,0,,,,,,,,,,
25.01.2020,4.05223,0,0,0,0,0,,,,,,,,,,
26.01.2020,4.07175,0,0,0,0,0,,,,,,,,,,
27.01.2020,4.06728,0,0,0,0,0,,,,,,,,,,
28.01.2020,4.01693,0,0,0,0,0,,,,,,,,,,
29.01.2020,3.9737,0,0,0,0,0,,,,,,,,,,
30.01.2020,3.91271,0,0,0,0,0,,,,,,,,,,
31.01.2020,4.022,0,0,0,0,0,,,,,,,,,,
01.02.2020,4.18082,0,0,0,0,0,,,,,,,,,,
02.02.2020,4.24589,0,0,0,0,0,,,,,,,,,,
03.02.2020,4.26925,0,0,0,0,0,,,,,,,,,,
04.02.2020,4.11128,0,0,0,0,0,,,,,,,,,,
05.02.2020,4.00264,0,0,0,0,0,,,,,,,,,,
06.02.2020,3.90367,0,0,0,0,0,,,,,,,,,,
07.02.2020,3.96388,0,0,0,0,0,,,,,,,,,,
08.02.2020,4.10721,0,0,0,0,0,,,,,,,,,,
09.02.2020,4.12824,0,0,0,0,0,,,,,,,,,,
10.02.2020,4.14215,0,0,0,0,0,,,,,,,,,,
11.02.2020,4.22578,0,0,0,0,0,,,,,,,,,,
12.02.2020,4.38762,0,0,0,0,0,,,,,,,,,,
13.02.2020,4.4041,0,0,0,0,0,,,,,,,,,,
14.02.2020,4.37761,0,0,0,0,0,,,,,,,,,,
15.02.2020,4.29037,0,0,0,0,0,,,,,,,,,,
16.02.2020,4.27132,0,0,0,0,0,,,,,,,,,,
17.02.2020,4.18838,0,0,0,0,0,,,,,,,,,,
18.02.2020,4.14449,0,0,0,0,0,,,,,,,,,,
19.02.2020,4.18811,0,0,0,0,0,,,,,,,,,,
20.02.2020,4.25048,0,0,0,0,0,,,,,,,,,,
21.02.2020,4.26504,0,0,0,0,0,,,,,,,,,,
22.02.2020,4.26144,0,0,0,0,0,,,,,,,,,,
23.02.2020,4.26281,0,0,0,0,0,,,,,,,,,,
24.02.2020,4.25021,0,0,0,0,0,,,,,,,,,,
25.02.2020,4.25007,0,0,0,0,0,,,,,,,,,,
26.02.2020,4.16824,0,0,0,0,0,,,,,,,,,,
27.02.2020,4.03344,0,0,0,0,0,,,,,,,,,,
28.02.2020,4.15731,0,0,0,0,0,,,,,,,,,,
29.02.2020,4.32918,0,0,0,0,0,,,,,,,,,,
01.03.2020,4.22456,0,0,0,0,0,,,,,,,,,,
02.03.2020,4.14983,0,0,0,0,0,,,,,,,,,,
03.03.2020,4.146,0,0,0,0,0,,,,,,,,,,
04.03.2020,4.08459,0,0,0,0,0,,,,,,,,,,
05.03.2020,4.17498,0,0,0,0,0,,,,,,,,,,
06.03.2020,4.2612,0,0,0,0,0,,,,,,,,,,
07.03.2020,4.32468,0,0,0,0,0,,,,,,,,,,
08.03.2020,4.27166,0,0,0,0,0,,,,,,,,,,
09.03.2020,4.19026,0,0,0,0,0,,,,,,,,,,
10.03.2020,4.19137,0,0,0,0,0,,,,,,,,,,
11.03.2020,4.27198,0,0,0,0,0,,,,,,,,,,
12.03.2020,4.30865,0,0,0,0,0,,,,,,,,,,
13.03.2020,4.33569,0,0,0,0,0,,,,,,,,,,
14.03.2020,4.09819,0,0,0,0,0,,,,,,,,,,
15.03.2020,4.12466,0,0,0,0,0,,,,,,,,,,
16.03.2020,4.07867,0,0,0,0,0,,,,,,,,,,
17.03.2020,4.09267,0,0,0,0,0,,,,,,,,,,
18.03.2020,4.01704,0,0,0,0,0,,,,,,,,,,
19.03.2020,4.15162,0,0,0,0,0,,,,,,,,,,
20.03.2020,4.09714,0,0,0,0,0,,,,,,,,,,
21.03.2020,4.14623,0,0,0,0,0,,,,,,,,,,
22.03.2020,4.1271,0,0,0,0,0,,,,,,,,,,
23.03.2020,3.81219,0,0,0,0,0,,,,,,,,,,
24.03.2020,3.7877,0,0,0,0,0,,,,,,,,,,
25.03.2020,3.77166,0,0,0,0,0,,,,,,,,,,
26.03.2020,3.8792,0,0,0,0,0,,,,,,,,,,
27.03.2020,3.96829,0,0,0,0,0,,,,,,,,,,
28.03.2020,3.96323,0,0,0,0,0,,,,,,,,,,
29.03.2020,3.69359,0,0,0,0,0,,,,,,,,,,
30.03.2020,3.80872,0,0,0,0,0,,,,,,,,,,
31.03.2020,3.74731,0,0,0,0,0,,,,,,,,,,
01.04.2020,3.93163,0,0,0,0,0,,,,,,,,,,
02.04.2020,4.0491,0,0,0,0,0,,,,,,,,,,
