Jour,Biogaz,Biogaz de station d'épuration,Cultures énergétiques,Incinération
,Énergie (GWh),Énergie (GWh),Énergie (GWh),
01.01.2021,0.66547,0.27128,0.14179,2.31798
02.01.2021,0.644,0.26297,0.13882,2.31159
03.01.2021,0.62793,0.25735,0.13971,2.31262
04.01.2021,0.63349,0.25616,0.13533,2.08756
05.01.2021,0.64433,0.25703,0.1384,1.94249
06.01.2021,0.63619,0.26768,0.13757,2.03333
07.01.2021,0.63247,0.29214,0.13667,2.03501
08.01.2021,0.64652,0.28769,0.13701,1.96789
09.01.2021,0.64782,0.27472,0.13765,2.03934
10.01.2021,0.63731,0.27523,0.1372,2.02983
11.01.2021,0.63773,0.27508,0.13982,2.01537
12.01.2021,0.64276,0.27816,0.14522,2.06917
13.01.2021,0.64079,0.28687,0.14311,2.12654
14.01.2021,0.65054,0.28167,0.145,2.19952
15.01.2021,0.63698,0.25842,0.14426,2.09055
16.01.2021,0.63779,0.26093,0.14376,2.07775
17.01.2021,0.62714,0.26676,0.14555,2.13595
18.01.2021,0.63941,0.25219,0.14423,2.04411
19.01.2021,0.64743,0.26242,0.14261,2.00282
20.01.2021,0.64038,0.27401,0.14284,2.02432
21.01.2021,0.65758,0.27071,0.10131,1.96391
22.01.2021,0.66691,0.28948,0.064,2.1452
23.01.2021,0.66893,0.29269,0.11628,2.23628
24.01.2021,0.63672,0.26415,0.13375,2.22102
25.01.2021,0.60349,0.26227,0.13727,2.12798
26.01.2021,0.59959,0.2756,0.14365,2.13897
27.01.2021,0.60827,0.27314,0.14248,2.13435
28.01.2021,0.62713,0.27488,0.13927,2.28541
29.01.2021,0.6241,0.27484,0.14271,2.3262
30.01.2021,0.62296,0.25705,0.11437,2.33339
31.01.2021,0.61775,0.23164,0.03796,2.27064
01.02.2021,0.64199,0.2242,0.03872,2.05601
02.02.2021,0.62621,0.23396,0.0375,2.0848
03.02.2021,0.65496,0.23959,0.03205,2.14569
04.02.2021,0.67155,0.24409,0.03613,2.1741
05.02.2021,0.70253,0.24915,0.0617,2.20629
06.02.2021,0.72196,0.25105,0.13226,2.33216
07.02.2021,0.70286,0.25195,0.1376,2.35633
08.02.2021,0.67824,0.2561,0.13808,2.20593
09.02.2021,0.68641,0.26363,0.14065,2.20558
10.02.2021,0.69732,0.27436,0.13673,2.12506
11.02.2021,0.69508,0.2598,0.13332,2.03621
12.02.2021,0.70454,0.27114,0.13457,2.01437
13.02.2021,0.72288,0.27745,0.13506,2.09389
14.02.2021,0.71727,0.2626,0.1365,2.10179
15.02.2021,0.71078,0.2662,0.13756,2.13947
16.02.2021,0.70087,0.27667,0.14063,2.2678
17.02.2021,0.722,0.2899,0.14104,2.33941
18.02.2021,0.71838,0.2924,0.13945,2.27118
19.02.2021,0.72882,0.29774,0.13554,2.38489
20.02.2021,0.73439,0.29582,0.1363,2.43244
21.02.2021,0.71531,0.28552,0.14083,2.41988
22.02.2021,0.69033,0.28796,0.13688,2.3653
23.02.2021,0.70793,0.3005,0.13126,2.38244
24.02.2021,0.70666,0.29019,0.11097,2.35973
25.02.2021,0.7131,0.30012,0.12082,2.43216
26.02.2021,0.72556,0.30387,0.12725,2.44471
27.02.2021,0.72288,0.30404,0.13453,2.47308
28.02.2021,0.69927,0.28998,0.13828,2.33496
01.03.2021,0.71534,0.30256,0.13866,2.33983
02.03.2021,0.70362,0.30849,0.13391,2.25493
03.03.2021,0.6826,0.31014,0.13916,2.35761
04.03.2021,0.70588,0.31134,0.13685,2.39876
05.03.2021,0.72045,0.31095,0.13748,2.41189
06.03.2021,0.75227,0.31234,0.14259,2.42214
07.03.2021,0.73537,0.30657,0.14481,2.4266
08.03.2021,0.71849,0.29686,0.13446,2.39243
09.03.2021,0.71947,0.30237,0.13591,2.27069
10.03.2021,0.72304,0.2992,0.13715,2.4049
11.03.2021,0.71082,0.3041,0.12901,2.4919
12.03.2021,0.73514,0.31023,0.13749,2.52719
13.03.2021,0.73241,0.31458,0.12848,2.50765
14.03.2021,0.71818,0.29058,0.14139,2.36125
15.03.2021,0.69655,0.29364,0.14677,2.23759
16.03.2021,0.69315,0.28982,0.14405,2.22912
17.03.2021,0.70599,0.28594,0.14379,2.269
18.03.2021,0.7152,0.28386,0.14477,2.35231
19.03.2021,0.74316,0.27639,0.14322,2.4099
20.03.2021,0.74583,0.27679,0.13878,2.35159
21.03.2021,0.75105,0.27602,0.14137,2.31983
22.03.2021,0.73565,0.27616,0.14202,2.2982
23.03.2021,0.74415,0.27987,0.13998,2.38597
24.03.2021,0.73652,0.28545,0.13684,2.503
25.03.2021,0.74652,0.29663,0.13763,2.56915
26.03.2021,0.75232,0.30353,0.12825,2.64755
