Jour,Biogaz,Biogaz de station d'épuration,Déchets forestiers et agricoles,Incinération
,Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh)
01.01.2023,0.83083,0.28028,1.43996,4.48685
02.01.2023,0.83345,0.27464,1.58694,4.36158
03.01.2023,0.86115,0.28707,1.57781,4.23029
04.01.2023,0.86877,0.3101,1.51716,4.38018
05.01.2023,0.8876,0.31566,1.53962,4.49809
06.01.2023,0.89454,0.31221,1.58007,4.38955
07.01.2023,0.88876,0.30833,1.54865,4.40826
08.01.2023,0.8613,0.29546,1.58954,4.55974
09.01.2023,0.86033,0.305,1.57846,4.4181
10.01.2023,0.87032,0.31951,1.54132,4.11855
11.01.2023,0.88806,0.31226,1.53145,4.03714
12.01.2023,0.89274,0.3186,1.55237,4.08913
13.01.2023,0.89825,0.31319,1.55017,4.1932
14.01.2023,0.90588,0.30382,1.6051,4.23368
15.01.2023,0.86885,0.29421,1.53614,4.18168
16.01.2023,0.86188,0.28647,1.69985,3.76904
17.01.2023,0.88189,0.29669,1.68004,3.98382
18.01.2023,0.87706,0.29646,1.68571,3.98962
19.01.2023,0.87274,0.3056,1.71553,3.88504
20.01.2023,0.88213,0.30541,1.68127,3.86506
21.01.2023,0.89156,0.29847,1.6916,3.91659
22.01.2023,0.87363,0.28834,1.60234,3.87309
23.01.2023,0.86764,0.29584,1.70306,3.98188
24.01.2023,0.87226,0.31621,1.73095,3.94788
25.01.2023,0.90083,0.32293,1.71623,3.93315
26.01.2023,0.9077,0.32866,1.68318,3.81894
27.01.2023,0.91674,0.32554,1.68255,3.95455
28.01.2023,0.92415,0.32529,1.66248,4.21496
29.01.2023,0.91547,0.32323,1.64912,4.30289
30.01.2023,0.90315,0.32127,1.67327,4.03639
31.01.2023,0.90178,0.32816,1.68412,4.14214
01.02.2023,0.89548,0.32175,1.62553,4.22904
02.02.2023,0.92112,0.33203,1.68026,4.34633
03.02.2023,0.94039,0.32438,1.72134,4.34929
04.02.2023,0.98852,0.31699,1.69083,4.61729
05.02.2023,0.97652,0.30933,1.70015,4.44183
06.02.2023,0.96184,0.30844,1.71655,4.28098
07.02.2023,0.95338,0.32331,1.68862,4.18507
08.02.2023,0.94891,0.32443,1.73701,4.25926
09.02.2023,0.9549,0.31909,1.74149,4.32713
