Jour,Eaux usées,Eau de drainage,Débits résiduels (barrages),Hydraulique fil de l'eau,Pompage-turbinage production,Eau de Stockage,Eau potable,Biogaz,Biogaz de station d'épuration,Energie du bois,Déchets forestiers et agricoles,Incinération,Turbine à vapeur de gaz fossile,Centrale combinée à gaz et à vapeur,Turbine à gaz,Énergies fossiles gazeuses,Moteur à combustion,Énergies fossiles liquides,Éolienne,Photovoltaïque
,Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh)
01.01.2023,0,15.8,0.7,17.5,15.6,6.7,0.7,0.8,0.3,0,1.5,4.5,0,0,0.1,0,0.1,0,1.1,4.7
02.01.2023,0,17.1,0.7,17.9,23.7,8.5,0.7,0.8,0.3,0,1.6,4.4,0,0.2,0.1,0,0.1,0,0.8,3.3
03.01.2023,0,17.1,0.7,17.9,30.6,11.4,0.7,0.9,0.3,0,1.6,4.2,0,0.3,0.2,0,0.1,0,0,1.3
04.01.2023,0,15.7,0.7,17.3,22.2,7,0.6,0.9,0.3,0,1.5,4.4,0,0.3,0.2,0,0.2,0,0.7,2.4
05.01.2023,0,15.9,0.7,16.7,17.3,8.2,0.6,0.9,0.3,0,1.5,4.5,0,0.3,0.2,0,0.1,0,0.5,2.6
06.01.2023,0,15.6,0.7,16.7,18.7,7.6,0.6,0.9,0.3,0,1.6,4.4,0,0.3,0.2,0,0.1,0,0.1,2.4
07.01.2023,0,13.4,0.7,14.7,11.6,9.6,0.6,0.9,0.3,0,1.5,4.4,0,0.3,0.2,0,0.1,0,0.7,4.7
08.01.2023,0,12.4,0.7,14.3,10.6,5.5,0.6,0.9,0.3,0,1.6,4.6,0,0.3,0.2,0,0.1,0,0.9,1.1
09.01.2023,0,16.2,0.7,18.4,30.2,15.6,0.6,0.9,0.3,0,1.6,4.4,0.1,0.3,0.2,0,0.1,0,1,2.8
10.01.2023,0,16.2,0.7,19.1,22.3,18,0.6,0.9,0.3,0,1.5,4.1,0.1,0.3,0.3,0,0.2,0,0.7,4.5
11.01.2023,0,16.4,0.7,19,20.9,14.6,0.6,0.9,0.3,0,1.5,4,0,0.3,0.2,0,0.2,0,0.9,1.1
12.01.2023,0,16.4,0.7,19.1,21.4,16.9,0.6,0.9,0.3,0,1.6,4.1,0,0.3,0.2,0,0.2,0,1,2.4
13.01.2023,0,15.8,0.7,18.9,21.7,14.3,0.6,0.9,0.3,0,1.6,4.2,0,0.3,0.2,0,0.1,0,1,2.8
14.01.2023,0,14.7,0.7,17,11.1,7.7,0.6,0.9,0.3,0,1.6,4.2,0,0.3,0.2,0,0.1,0,1.1,3.4
15.01.2023,0,14.4,0.7,16,10.4,10.7,0.6,0.9,0.3,0,1.5,4.2,0,0,0.2,0,0.1,0,1.1,0.9
16.01.2023,0,15.7,0.7,17.6,18.2,17.2,0.6,0.9,0.3,0,1.7,3.8,0.1,0.1,0.2,0,0.2,0,1,2.1
17.01.2023,0,16.5,0.7,17.7,56,25.9,0.5,0.9,0.3,0,1.7,4,0.9,0.9,0.2,0,0.2,0,0.4,1
18.01.2023,0,16.4,0.7,17.1,38.6,24.7,0.5,0.9,0.3,0,1.7,4,1.4,1.4,0.2,0,0.2,0,0.3,0.9
19.01.2023,0,17.1,0.7,17.2,74.9,33,0.5,0.9,0.3,0,1.7,3.9,1.4,1,0.2,0,0.2,0,0.2,1.5
20.01.2023,0,16,0.6,16.1,67.1,29.1,0.5,0.9,0.3,0,1.7,3.9,1.4,1.4,0.2,0,0.2,0,0.3,1.7
21.01.2023,0,12.5,0.6,13.3,21.7,18.4,0.5,0.9,0.3,0,1.7,3.9,1.4,1.4,0.2,0,0.2,0,0.5,1.5
22.01.2023,0,11.5,0.6,12.1,25.8,20.1,0.5,0.9,0.3,0,1.6,3.9,1.4,1.4,0.2,0,0.1,0,0.1,0.9
23.01.2023,0,16,0.6,14.4,75.8,30,0.5,0.9,0.3,0,1.7,4,1.4,1.3,0.2,0,0.2,0,0.3,0.6
24.01.2023,0,15.5,0.6,14,69.7,30,0.5,0.9,0.3,0,1.7,3.9,1.4,1.1,0.2,0,0.2,0,0.2,1.1
25.01.2023,0,15.3,0.6,14,78.6,30.6,0.5,0.9,0.3,0,1.7,3.9,1.4,1.2,0.2,0,0.2,0,0.1,1
26.01.2023,0,14.4,0.6,14.2,58,28.4,0.5,0.9,0.3,0,1.7,3.8,1.4,1.5,0.2,0,0.2,0,0.1,0.8
27.01.2023,0,14,0.6,13.7,47.9,28.2,0.5,0.9,0.3,0,1.7,4,1.4,1,0.2,0,0.2,0,0.1,0.8
28.01.2023,0,11.2,0.6,11.7,32.5,17.3,0.5,0.9,0.3,0,1.7,4.2,1.4,0.5,0.2,0,0.2,0,0.1,1.2
29.01.2023,0,9.2,0.6,10.9,17.3,13.6,0.5,0.9,0.3,0,1.6,4.3,1.4,0.5,0.2,0,0.2,0,0.1,2.2
30.01.2023,0,12.7,0.6,12.5,59.5,25.2,0.5,0.9,0.3,0,1.7,4,1.4,0.5,0.2,0,0.2,0,0.5,4.2
31.01.2023,0,11.7,0.6,11.9,41.2,20.6,0.5,0.9,0.3,0,1.7,4.1,1.3,0.4,0.2,0,0.2,0,0.3,5
01.02.2023,0,11.9,0.6,11.5,25.4,19.2,0.5,0.9,0.3,0,1.6,4.2,1.3,0.5,0.2,0,0.3,0,0.5,4.2
02.02.2023,0,11.6,0.6,11.4,21.3,19.3,0.5,0.9,0.3,0,1.7,4.3,1.3,0.5,0.2,0,0.2,0,0.5,3.5
03.02.2023,0,11,0.6,11.3,33.3,19.6,0.4,0.9,0.3,0,1.7,4.4,1.3,0.5,0.2,0,0.2,0,0.5,6.5
04.02.2023,0,8.4,0.6,9.3,16.8,10.8,0.4,1,0.3,0,1.7,4.6,1.3,0.4,0.2,0,0.2,0,0.5,3
05.02.2023,0,8.2,0.6,9.4,8.2,8.2,0.4,1,0.3,0,1.7,4.4,1.3,0.4,0.2,0,0.2,0,0.4,3.4
06.02.2023,0,12.5,0.6,11.6,44.8,26.4,0.4,1,0.3,0,1.7,4.3,1.3,0.4,0.3,0,0.2,0,0.3,3.6
07.02.2023,0,12.2,0.6,11.6,49.2,25.3,0.4,1,0.3,0,1.7,4.2,1.6,0.4,0.3,0,0.2,0,0.5,8.7
08.02.2023,0,12.1,0.6,11.3,42.7,26,0.4,0.9,0.3,0,1.7,4.3,1.9,0.4,0.3,0,0.2,0,0.5,6.1
